pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec
BD+20 274 b,1,1,Radial Velocity,2012,578.2,1.3,,1334.886,0.21,,,4296,17.3,0.8,25.9203179,21.0052692
BD+20 594 b,1,1,Transit,2016,41.6855,,2.578,22.2481,0,,,5766,1.08,1.67,53.6511231,20.5990205
BD+48 738 b,1,1,Radial Velocity,2011,392.6,1,,289.2253,0.2,,,4414,11,0.74,40.7102869,49.5869395
BD+48 740 b,1,1,Radial Velocity,2018,733,1.7,,540.311,0.76,,,4534,10.33,1.09,40.7425426,48.9300579
BD+49 828 b,1,1,Radial Velocity,2015,2590,4.2,,508.5,0.35,,,4943,7.6,1.52,45.6406187,49.7299481
BD-06 1339 b,1,2,Radial Velocity,2013,3.8728,0.0428,,8.5,0,,,4324,,0.7,88.2511811,-5.9963378
BD-06 1339 c,1,2,Radial Velocity,2013,125.94,0.435,,53,0.31,,,4324,,0.7,88.2511811,-5.9963378
BD-08 2823 b,1,2,Radial Velocity,2009,5.6,0.06,,12.7132,0.15,,,4816,0.71,0.5,150.1971964,-9.5165689
BD-08 2823 c,1,2,Radial Velocity,2009,237.6,0.68,,104,0.19,,,4746,,0.74,150.1971964,-9.5165689
BD-10 3166 b,1,1,Radial Velocity,2000,3.48777,0.04,,187.5197,0.02,,,5393,0.91,1.47,164.6191243,-10.7704227
BD-11 4672 b,1,2,Radial Velocity,2014,1634,2.36,,206.5895,0.05,,,4550,0.64,0.65,278.3688659,-11.6370481
BD-11 4672 c,1,2,Radial Velocity,2020,74.2,0.3,,15.37,0.4,,,4550,0.64,0.65,278.3688659,-11.6370481
BD-13 2130 b,1,1,Radial Velocity,2007,714.29999,1.66,,3108.3774,0.21,,,4545,19.17,2.12,114.2884692,-13.9066703
BD-17 63 b,1,1,Radial Velocity,2008,655.6,1.34,,1620.9,0.54,,,4714,0.69,0.74,7.1413494,-16.2273254
CFBDSIR J145829+101343 b,1,1,Imaging,2011,10037.5,2.6,,3337.1,,,370,580.5,,0.02,224.6208333,10.2286111
CHXR 73 b,1,1,Imaging,2006,,210,,3994.486,,,,,,0.35,166.6193985,-77.6258725
CI Tau b,1,1,Radial Velocity,2019,8.9891,,,3686.828,0.25,,,,,0.9,68.4667685,22.8416192
CT Cha b,1,1,Imaging,2007,,440,24.66,5403,,,2600,,,,166.0375038,-76.4553693
CoRoT-1 b,1,1,Transit,2008,1.5089557,,16.7,327.35,0,,1898,5950,1.11,0.95,102.0798591,-3.1021394
CoRoT-10 b,1,1,Transit,2010,13.2406,0.1055,10.87,874,0.53,,600,5075,0.79,0.89,291.0636813,0.7460143
CoRoT-11 b,1,1,Transit,2010,2.99433,0.0436,16.03,740.51,0,,1657,6440,1.37,1.27,280.6872998,5.9376586
CoRoT-12 b,1,1,Transit,2010,2.828042,0.04016,16.14,291.438,0.07,,1442,5675,1.12,1.08,100.7656871,-1.2964437
CoRoT-13 b,1,1,Transit,2010,4.03519,0.051,9.92,415.704,0,,1700,5945,1.01,1.09,102.7211432,-5.0864557
CoRoT-14 b,1,1,Transit,2010,1.51214,0.027,12.22,2415.4,0,,1952,6035,1.21,1.13,103.4242023,-5.5360385
CoRoT-16 b,1,1,Transit,2011,5.35227,0.0618,13.11,170.032,0.33,,,5650,1.19,1.1,278.5246658,-6.0026026
CoRoT-17 b,1,1,Transit,2011,3.7681,0.0461,11.43,772.29,0,,1626,5740,1.59,1.04,278.699236,-6.612288
CoRoT-18 b,1,1,Transit,2011,1.9000693,0.0295,14.68,1102.82,0.08,,1550,5440,1,0.95,98.1724172,-0.0316045
